[05:31:13] 17/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:31:13] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff7f3eff55ff19ff2effffffff3fff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:31:13] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0425ffffff49ff061dffffff14ff7eff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:34:33] 17/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:34:33] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff7f3eff55ff19ff2effffffff3fff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:34:33] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0425ffffff49ff061dffffff14ff7eff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:36:08] 17/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:36:08] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff7f3eff55ff19ff2effffffff3fff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:36:08] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0425ffffff49ff061dffffff14ff7eff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:36:54] 17/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:36:54] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff7f3eff55ff19ff2effffffff3fff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:36:54] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0425ffffff49ff061dffffff14ff7eff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:37:45] 17/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:37:45] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff7f3eff55ff19ff2effffffff3fff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:37:45] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0425ffffff49ff061dffffff14ff7eff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:41:00] 17/11/2023 | UID :  1000 | Action :   OPEN | Denied : 0 | Fingerprint : ff1dffffff00ff04ffff09ffffff427e | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:41:00] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : ffff7f3eff55ff19ff2effffffff3fff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
[05:41:00] 17/11/2023 | UID :  1000 | Action :  WRITE | Denied : 0 | Fingerprint : 0425ffffff49ff061dffffff14ff7eff | Path : /home/marios/SecuritySystems/Access_Controll_Logging_Tool/test/.testfiles/user_read_write.c
